50*#
START: 20230425 00:00:00 US/Central END: 20230515 00:00:00 US/Central
50*#reqId: 419, Date: 20230425 00:00:00 US/Central, O: 4146.25, H: 4148.5, L: 4144.0, C 4147.25
reqId: 419, Date: 20230425 01:00:00 US/Central, O: 4147.25, H: 4150.25, L: 4144.75, C 4148.5
reqId: 419, Date: 20230425 02:00:00 US/Central, O: 4148.5, H: 4149.25, L: 4135.75, C 4139.0
reqId: 419, Date: 20230425 03:00:00 US/Central, O: 4139.0, H: 4141.0, L: 4131.25, C 4137.5
reqId: 419, Date: 20230425 04:00:00 US/Central, O: 4137.5, H: 4139.5, L: 4135.25, C 4139.25
reqId: 419, Date: 20230425 05:00:00 US/Central, O: 4139.25, H: 4141.25, L: 4135.75, C 4140.5
reqId: 419, Date: 20230425 06:00:00 US/Central, O: 4140.5, H: 4143.5, L: 4137.25, C 4140.75
reqId: 419, Date: 20230425 07:00:00 US/Central, O: 4140.5, H: 4144.5, L: 4139.25, C 4140.25
reqId: 419, Date: 20230425 08:00:00 US/Central, O: 4140.25, H: 4144.25, L: 4132.5, C 4135.0
reqId: 419, Date: 20230425 09:00:00 US/Central, O: 4135.5, H: 4140.5, L: 4123.5, C 4130.5
reqId: 419, Date: 20230425 10:00:00 US/Central, O: 4130.75, H: 4136.5, L: 4121.0, C 4122.5
reqId: 419, Date: 20230425 11:00:00 US/Central, O: 4122.5, H: 4125.25, L: 4116.25, C 4118.75
reqId: 419, Date: 20230425 12:00:00 US/Central, O: 4118.75, H: 4121.25, L: 4100.0, C 4101.75
reqId: 419, Date: 20230425 13:00:00 US/Central, O: 4101.75, H: 4106.0, L: 4097.5, C 4098.5
reqId: 419, Date: 20230425 14:00:00 US/Central, O: 4098.5, H: 4106.25, L: 4090.5, C 4093.5
reqId: 419, Date: 20230425 15:00:00 US/Central, O: 4093.5, H: 4109.5, L: 4091.0, C 4109.0
reqId: 419, Date: 20230425 17:00:00 US/Central, O: 4110.75, H: 4118.0, L: 4108.75, C 4111.25
reqId: 419, Date: 20230425 18:00:00 US/Central, O: 4111.25, H: 4112.25, L: 4108.0, C 4111.25
reqId: 419, Date: 20230425 19:00:00 US/Central, O: 4111.25, H: 4114.25, L: 4108.25, C 4113.0
reqId: 419, Date: 20230425 20:00:00 US/Central, O: 4113.0, H: 4115.0, L: 4111.5, C 4113.75
reqId: 419, Date: 20230425 21:00:00 US/Central, O: 4113.5, H: 4115.0, L: 4111.0, C 4115.0
reqId: 419, Date: 20230425 22:00:00 US/Central, O: 4115.0, H: 4115.0, L: 4109.0, C 4109.5
reqId: 419, Date: 20230425 23:00:00 US/Central, O: 4109.5, H: 4111.25, L: 4108.5, C 4110.75
reqId: 419, Date: 20230426 00:00:00 US/Central, O: 4110.5, H: 4115.75, L: 4110.25, C 4114.5
reqId: 419, Date: 20230426 01:00:00 US/Central, O: 4114.5, H: 4115.0, L: 4110.0, C 4112.75
reqId: 419, Date: 20230426 02:00:00 US/Central, O: 4112.75, H: 4113.5, L: 4100.5, C 4106.0
reqId: 419, Date: 20230426 03:00:00 US/Central, O: 4106.25, H: 4111.75, L: 4099.5, C 4110.25
reqId: 419, Date: 20230426 04:00:00 US/Central, O: 4110.5, H: 4112.25, L: 4102.25, C 4105.25
reqId: 419, Date: 20230426 05:00:00 US/Central, O: 4105.5, H: 4109.25, L: 4096.75, C 4099.0
reqId: 419, Date: 20230426 06:00:00 US/Central, O: 4099.0, H: 4104.75, L: 4089.25, C 4096.5
reqId: 419, Date: 20230426 07:00:00 US/Central, O: 4096.5, H: 4106.5, L: 4095.0, C 4105.0
reqId: 419, Date: 20230426 08:00:00 US/Central, O: 4105.25, H: 4107.25, L: 4094.25, C 4100.25
reqId: 419, Date: 20230426 09:00:00 US/Central, O: 4100.25, H: 4101.25, L: 4081.25, C 4093.5
reqId: 419, Date: 20230426 10:00:00 US/Central, O: 4093.75, H: 4107.0, L: 4093.25, C 4104.75
reqId: 419, Date: 20230426 11:00:00 US/Central, O: 4104.75, H: 4110.0, L: 4096.25, C 4098.25
reqId: 419, Date: 20230426 12:00:00 US/Central, O: 4098.25, H: 4101.5, L: 4081.0, C 4084.0
reqId: 419, Date: 20230426 13:00:00 US/Central, O: 4084.0, H: 4084.75, L: 4071.75, C 4074.75
reqId: 419, Date: 20230426 14:00:00 US/Central, O: 4074.75, H: 4081.0, L: 4066.0, C 4074.75
reqId: 419, Date: 20230426 15:00:00 US/Central, O: 4074.75, H: 4086.5, L: 4073.75, C 4085.5
reqId: 419, Date: 20230426 17:00:00 US/Central, O: 4085.5, H: 4086.5, L: 4082.25, C 4085.0
reqId: 419, Date: 20230426 18:00:00 US/Central, O: 4084.75, H: 4085.75, L: 4082.75, C 4085.25
reqId: 419, Date: 20230426 19:00:00 US/Central, O: 4085.5, H: 4085.5, L: 4081.75, C 4083.5
reqId: 419, Date: 20230426 20:00:00 US/Central, O: 4083.75, H: 4085.25, L: 4080.75, C 4084.0
reqId: 419, Date: 20230426 21:00:00 US/Central, O: 4084.25, H: 4087.0, L: 4083.0, C 4085.75
reqId: 419, Date: 20230426 22:00:00 US/Central, O: 4085.75, H: 4086.5, L: 4084.25, C 4084.75
reqId: 419, Date: 20230426 23:00:00 US/Central, O: 4084.75, H: 4088.75, L: 4084.5, C 4088.5
reqId: 419, Date: 20230427 00:00:00 US/Central, O: 4088.5, H: 4091.5, L: 4086.25, C 4090.75
reqId: 419, Date: 20230427 01:00:00 US/Central, O: 4090.75, H: 4092.25, L: 4088.75, C 4090.25
reqId: 419, Date: 20230427 02:00:00 US/Central, O: 4090.5, H: 4097.5, L: 4087.25, C 4096.25
reqId: 419, Date: 20230427 03:00:00 US/Central, O: 4096.0, H: 4096.75, L: 4092.5, C 4096.0
reqId: 419, Date: 20230427 04:00:00 US/Central, O: 4096.0, H: 4097.25, L: 4093.75, C 4095.0
reqId: 419, Date: 20230427 05:00:00 US/Central, O: 4094.75, H: 4098.5, L: 4093.0, C 4098.25
reqId: 419, Date: 20230427 06:00:00 US/Central, O: 4098.25, H: 4101.25, L: 4096.25, C 4098.5
reqId: 419, Date: 20230427 07:00:00 US/Central, O: 4098.25, H: 4106.0, L: 4090.0, C 4100.0
reqId: 419, Date: 20230427 08:00:00 US/Central, O: 4100.0, H: 4108.5, L: 4097.25, C 4105.5
reqId: 419, Date: 20230427 09:00:00 US/Central, O: 4105.5, H: 4116.0, L: 4104.0, C 4106.75
reqId: 419, Date: 20230427 10:00:00 US/Central, O: 4107.0, H: 4123.0, L: 4104.25, C 4122.0
reqId: 419, Date: 20230427 11:00:00 US/Central, O: 4121.75, H: 4128.75, L: 4121.75, C 4127.75
reqId: 419, Date: 20230427 12:00:00 US/Central, O: 4128.0, H: 4142.5, L: 4126.5, C 4138.0
reqId: 419, Date: 20230427 13:00:00 US/Central, O: 4138.0, H: 4155.75, L: 4137.75, C 4155.5
reqId: 419, Date: 20230427 14:00:00 US/Central, O: 4155.5, H: 4157.75, L: 4151.25, C 4154.0
reqId: 419, Date: 20230427 15:00:00 US/Central, O: 4154.0, H: 4168.0, L: 4148.25, C 4158.0
reqId: 419, Date: 20230427 17:00:00 US/Central, O: 4151.75, H: 4152.75, L: 4147.5, C 4149.75
reqId: 419, Date: 20230427 18:00:00 US/Central, O: 4149.5, H: 4152.75, L: 4148.25, C 4148.75
reqId: 419, Date: 20230427 19:00:00 US/Central, O: 4148.75, H: 4150.25, L: 4147.0, C 4148.25
reqId: 419, Date: 20230427 20:00:00 US/Central, O: 4148.5, H: 4154.25, L: 4145.0, C 4152.0
reqId: 419, Date: 20230427 21:00:00 US/Central, O: 4152.0, H: 4154.0, L: 4150.5, C 4152.75
reqId: 419, Date: 20230427 22:00:00 US/Central, O: 4152.75, H: 4153.0, L: 4147.25, C 4148.25
reqId: 419, Date: 20230427 23:00:00 US/Central, O: 4148.25, H: 4151.5, L: 4147.75, C 4149.5
reqId: 419, Date: 20230428 00:00:00 US/Central, O: 4149.25, H: 4155.5, L: 4147.25, C 4153.25
reqId: 419, Date: 20230428 01:00:00 US/Central, O: 4153.5, H: 4153.5, L: 4145.0, C 4145.5
