50*#
START: 20230802 00:00:00 US/Eastern END: 20230911 00:00:00 US/Eastern
50*#20230911, TimePassed: 40 days, 0:00:00, reqId: 419, Date: 20230802 00:00:00 US/Eastern, O: 4580.5, H: 4581.25, L: 4577.75, C 4578.75
20230911, TimePassed: 39 days, 23:00:00, reqId: 419, Date: 20230802 01:00:00 US/Eastern, O: 4578.75, H: 4583.75, L: 4577.25, C 4580.5
20230911, TimePassed: 39 days, 22:00:00, reqId: 419, Date: 20230802 02:00:00 US/Eastern, O: 4580.25, H: 4580.75, L: 4574.25, C 4575.75
20230911, TimePassed: 39 days, 21:00:00, reqId: 419, Date: 20230802 03:00:00 US/Eastern, O: 4575.75, H: 4577.5, L: 4561.25, C 4561.75
20230911, TimePassed: 39 days, 20:00:00, reqId: 419, Date: 20230802 04:00:00 US/Eastern, O: 4561.75, H: 4562.75, L: 4552.25, C 4562.0
20230911, TimePassed: 39 days, 19:00:00, reqId: 419, Date: 20230802 05:00:00 US/Eastern, O: 4562.0, H: 4568.0, L: 4558.0, C 4566.5
20230911, TimePassed: 39 days, 18:00:00, reqId: 419, Date: 20230802 06:00:00 US/Eastern, O: 4566.25, H: 4579.5, L: 4566.0, C 4579.5
20230911, TimePassed: 39 days, 17:00:00, reqId: 419, Date: 20230802 07:00:00 US/Eastern, O: 4579.25, H: 4583.5, L: 4576.75, C 4578.25
20230911, TimePassed: 39 days, 16:00:00, reqId: 419, Date: 20230802 08:00:00 US/Eastern, O: 4578.0, H: 4580.75, L: 4570.0, C 4571.75
20230911, TimePassed: 39 days, 15:00:00, reqId: 419, Date: 20230802 09:00:00 US/Eastern, O: 4571.75, H: 4572.0, L: 4558.5, C 4564.75
20230911, TimePassed: 39 days, 14:00:00, reqId: 419, Date: 20230802 10:00:00 US/Eastern, O: 4565.0, H: 4566.0, L: 4539.25, C 4541.0
